Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label,SATD_predictor
finally use ftr_list_inds to get the actual columns we need from the,No,Yes,y,>Not SATD
features array. Need to this because multiple columns might belong to,Yes,Yes,n,>Not SATD
use 'feature_list_indices' from model_dict to get the actual columns,No,No,n,>Not SATD
columns might belong to the same feature;,No,Yes,n,>Not SATD
for todo in extract_config['todo_list']:,Yes,Yes,n,>SATD
# make sure number of features i.e. columns is constant across feature matrices,No,Yes,y,>Not SATD
make sure number of features i.e. columns is constant across feature matrices,No,Yes,y,>Not SATD
better than overhead of having some error-checking function \/ making these classes?,Yes,Yes,y,>SATD
This should really only happen when a hash is wrong,Yes,Yes,y,>Not SATD
gross hack,Yes,Yes,y,>SATD
and the number of columns should equal tbe number of feature indices,No,Yes,y,>Not SATD
averaged over columns occupy several columns,No,No,n,>Not SATD
"hacky platform-agnostic way to say \""if integer\""",No,Yes,y,>SATD
probably doesn't matter but why introduce more noise?,No,No,n,>SATD
make sure number of features i.e. columns is constant across feature matrices,No,Yes,y,>Not SATD
"and because \""explicit is better than implicit\""",No,Yes,n,>SATD
If true; `todo` and `todoList` produce output; else they produce nothing.,Yes,Yes,y,>SATD
TODO this class should be a proper backend class,Yes,No,y,>SATD
FIXME this should use store.collection,Yes,Yes,y,>SATD
FIXME this looks somewhat unstable. currently we schedule by,Yes,Yes,y,>SATD
FIXME return only at end of method.,Yes,Yes,y,>SATD
we're out of index columns; let's look at columns,No,Yes,n,>Not SATD
columns in frame,No,Yes,n,>Not SATD
columns to sort by; defaults to not sorted,No,Yes,n,>Not SATD
force columns -- on output add columns not present,No,Yes,y,>Not SATD
FIXME inefficient. make MDataFrame a drop-in replacement for any numpy ndarray,Yes,Yes,y,>SATD
list of column names => MDataFrame subset on columns,No,Yes,y,>Not SATD
index columns,No,Yes,n,>Not SATD
add a projection to keep accumulator columns,No,Yes,y,>Not SATD
add projection of output columns to operator,No,Yes,y,>Not SATD
unwind all columns if requested,No,Yes,y,>Not SATD
see if we can get columns from metadata,No,Yes,y,>Not SATD
if so we can specify the columns before getting the data,No,Yes,y,>Not SATD
we don't have columns in metadata; get the data first,Yes,Yes,y,>Not SATD
Mixin for configurable classes that work with connection files,No,Yes,y,>Not SATD
This file will contain the IP; ports; and authentication key needed to connect,No,Yes,n,>Not SATD
Session(Configurable) configuration,No,No,n,>Not SATD
Sessions support configurable serialization via packer\/unpacker traits; and,No,Yes,y,>Not SATD
The kernel manager class.  This is configurable to allow subclassing of the,No,Yes,n,>Not SATD
FileManagerMixin(Configurable) configuration,No,No,n,>Not SATD
The kernel spec class.  This is configurable to allow subclassing of the,No,Yes,n,>Not SATD
To implement a model that supports strict validation,No,Yes,y,>Not SATD
We decided to implement each method call explicitely in both,Yes,Yes,n,>Not SATD
implement a generic method and task that passes the method and,No,Yes,n,>Not SATD
documentation would become very unspecific. We think it is much,No,Yes,n,>SATD
features. If need should arise we can still implement a generic,No,No,n,>Not SATD
needed to get it to actually load the tasks (???),Yes,Yes,n,>Not SATD
FIXME use an instance specific alias. requires that every access,Yes,No,y,>SATD
connect forgets all connection settings upon disconnect WTF?!,Yes,Yes,y,>Not SATD
TODO kept _make_metadata for backwards compatibility.,Yes,Yes,y,>SATD
FIXME this may be a performance issue; use size stored on stats or metadata,Yes,Yes,y,>SATD
create mongon indicies for data frame index columns,No,Yes,y,>Not SATD
TODO ensure the same processing is applied in MDataFrame,Yes,Yes,y,>SATD
TODO this method should always use a MDataFrame disregarding lazy,Yes,Yes,y,>SATD
#NAME?,No,Yes,n,>Not SATD
get only projected columns,No,No,y,>Not SATD
meta_columns is {origin_column: stored_column},No,No,n,>Not SATD
restore columns to original name,No,Yes,y,>Not SATD
however preserve dunder '__<foo>' names ss columns,No,Yes,y,>Not SATD
# FIXME this does not work,Yes,No,n,>SATD
FIXME we have to convert MongoDB dayofweek to Pandas dt.dayofweek,Yes,No,n,>SATD
FIXME this is actually wrong; see df.quantile([.1; .2]),Yes,Yes,n,>SATD
#NAME?,No,Yes,n,>Not SATD
#NAME?,No,Yes,n,>Not SATD
TODO ignore errors; issue warning,Yes,No,y,>SATD
hack to localize metadata,Yes,Yes,y,>SATD
fix because local Metadata object cannot be pickled,No,Yes,y,>SATD
FIXME this is a hack to enable get_client_config,Yes,No,y,>SATD
override to implement model saving,No,Yes,y,>Not SATD
override to implement model loading,No,Yes,y,>Not SATD
override to implement model saving,No,Yes,y,>Not SATD
FIXME this will fail in tf 2.0; see https:\/\/github.com\/tensorflow\/tensorflow\/issues\/24412#issuecomment-491980177,Yes,Yes,y,>SATD
FIXME this is not working yet,Yes,Yes,y,>SATD
TODO add obj signing so that only trustworthy sources can put functions,Yes,Yes,y,>SATD
fix because local Metadata object cannot be pickled,Yes,Yes,y,>SATD
-- this is a hack to easily support python 2\/3 client\/server mix,Yes,No,y,>SATD
FIXME enable cache by arguments (mnemonic) @cached(seconds=3600),Yes,No,y,>SATD
FIXME should work with json (the default celery serializer),Yes,No,y,>SATD
FIXME get actual datetime,Yes,No,y,>SATD
FIXME sometimes it takes long for the nb to appear. why?,Yes,Yes,y,>SATD
FIXME sometimes it takes long for the nb to appear why?,Yes,Yes,y,>SATD
-- why can't we pass the Dataset directly? All objects must be executed on the same,Yes,Yes,n,>SATD
TODO do some more intelligent caching; i.e. by client\/auth,Yes,Yes,y,>SATD
TODO move all of the specifics to backend implementations,Yes,Yes,y,>SATD
TODO support DST-crossing datetime objects. use UTC to avoid the issue,Yes,Yes,y,>SATD
is not needed. loading means this happens at runtime startup,No,Yes,y,>Not SATD
FIXME this is a mess,Yes,Yes,y,>SATD
TODO refactor to seperate method \/ mapped translation functions,Yes,Yes,y,>SATD
fix tensorflow pulling wrong version of absl-py;,No,Yes,y,>SATD
TODO associate meta.gridfile with actual fs file,Yes,Yes,y,>SATD
TODO if head(); tail(); query(); .loc\/iloc should return a new MDataFrame instance to avoid having a reset need,Yes,Yes,y,>SATD
TODO introduce a puggable filetype processing backend to do this,Yes,Yes,y,>SATD
TODO make this a SystemError so that OmegaDeferredIstance.setup reverts to proper defaults,Yes,Yes,y,>SATD
#NAME?,No,Yes,n,>Not SATD
- This `environment` configurable,No,Yes,n,>Not SATD
The `environment` configurable should be set by JupyterHub administrators to,No,Yes,n,>Not SATD
from the configurable proxy.,No,Yes,n,>Not SATD
of creation. Open to better ways.,No,Yes,n,>SATD
TODO implement drop to support deletion of specific versions,Yes,Yes,y,>SATD
TODO refactor to promote of python native data backend,Yes,Yes,y,>SATD
TODO replace result backend with redis or mongodb,Yes,Yes,y,>SATD
#NAME?,No,Yes,n,>Not SATD
- This `environment` configurable,No,Yes,n,>Not SATD
The `environment` configurable should be set by JupyterHub administrators to,No,Yes,n,>Not SATD
from the configurable proxy.,No,Yes,n,>Not SATD
TODO replace mp with billiard,Yes,Yes,y,>SATD
TODO this fails and should not,Yes,Yes,y,>SATD
TODO move this implementation to a proper OmegaStore backend or mixin,Yes,No,y,>SATD
TODO enable mixins,Yes,Yes,y,>SATD
TODO enable custom backends,Yes,No,y,>SATD
Dummy predictions and trues are needed in Keras (see https:\/\/github.com\/Smith42\/keras-relativistic-gan).,No,Yes,n,>Not SATD
TODO: Tensorflow 1.3 doesn't support broadcasting in``tf.matmul`` and,Yes,Yes,y,>SATD
As a temporary workaround; we are using ``tf.einsum`` for the matrix,Yes,Yes,n,>SATD
TODO: ``full_cov`` True would return a ``fvar`` of shape N x N x D x D;,Yes,Yes,y,>SATD
This corresponds to a boundary condition that we must fix manually.,Yes,Yes,y,>Not SATD
This corresponds to a boundary condition that we must fix manually.,Yes,Yes,y,>Not SATD
Slicing is NOT needed here. The desired behaviour is to *still* return an NxMxD matrix. As even when the,Yes,Yes,y,>Not SATD
Slicing is NOT needed here. The desired behaviour is to *still* return an NxMxD matrix.,Yes,Yes,y,>Not SATD
TODO: wait for eager fix this bug.,Yes,Yes,y,>SATD
check for duplicates: start numbering if needed,No,Yes,y,>Not SATD
TODO: implement this,Yes,Yes,y,>SATD
TODO: Implement this,Yes,Yes,y,>SATD
Workaround as existing tf.Variable cannot be retrieved back with tf.get_variable,Yes,Yes,y,>SATD
Workaround as existing tf.Variable cannot be retrieved back with tf.get_variable,Yes,Yes,y,>SATD
Workaround as existing tf.Variable cannot be retrieved back with tf.get_variable,Yes,Yes,y,>SATD
This is a disaster; adding related tickers does not improve accuracy,Yes,Yes,y,>SATD
best to pass back copies instead of reference.\t\t\t,Yes,Yes,y,>SATD
This is a disaster; adding related tickers does not improve accuracy,Yes,Yes,y,>SATD
Sort columns alphabetical,No,Yes,y,>Not SATD
high performer; recently doing better,No,Yes,y,>Not SATD
TCR: idx = df.index[df.index.get_loc(dt; method='nearest')] this would be better,Yes,Yes,y,>Not SATD
idx = df.index[df.index.get_loc(dt; method='nearest')]  TCR: This would be better,Yes,Yes,y,>Not SATD
"Combines trending model with targeted \""swing\"" buys; attempting to gain better deals by anticipating daily price fluctuations",No,Yes,y,>SATD
ReEvaluationInterval is how often to re-evaluate our choices; ideally this should be very short and not matter; otherwise the date selection is biased.,Yes,Yes,n,>SATD
TODO,Yes,Yes,n,>SATD
and then averaged together. This provides significantly better performance than treating the probability,No,No,n,>SATD
exit loop when episode ends,No,No,n,>Not SATD
exit loop when episode ends,No,No,n,>Not SATD
"ph_burst_search = \""all_ph\""  # TODO: use broader EXCITATION selection in",Yes,No,y,>SATD
Needed for alternation hist,No,Yes,y,>Not SATD
Fix=[1;1;0;0;0]),No,No,y,>Not SATD
TODO: Solve the problem of imports without using run -i,Yes,Yes,y,>SATD
'-> THUS we need to swap D and A to maintain the convention D first,Yes,Yes,y,>Not SATD
was correct and NO remap is needed for those measurement.,No,Yes,n,>Not SATD
recomposed in ph_times and det. (NB: Old not very efficient approach),Yes,Yes,y,>SATD
Fix a threshold,No,Yes,y,>Not SATD
TODO: check bg rate calculation (seems quite a bit off),Yes,Yes,y,>SATD
Nice 1 number very sim. to Arial,No,No,n,>SATD
apparently does not work,Yes,No,y,>Not SATD
precompute the offset values for better performance,Yes,No,y,>SATD
"\""\""\"" || Hack to allow GUI selection of bursts in a 2D ALEX histogram. ||  || See hist2d_alex() in burst_plot.py. || \""\""\""",Yes,Yes,y,>SATD
Convert both Lim\/Ph_p and mburst; as they are both needed,Yes,Yes,y,>Not SATD
#TODO: save prefix; compression and size inside the group,Yes,Yes,y,>SATD
"\""\""\"" || This folder contains one file per each supported data file.  ||  || Each file contains the binary load and preprocessing functions needed for  || the specific format. Functions defined here are used by loader functions  || in `loaders.py` to properly initialize a `Data()` variable. || \""\""\""",No,Yes,n,>Not SATD
TODO: implement automatic threshold computation,Yes,Yes,y,>SATD
So getting all photons (DA) with this mask is efficient,No,No,n,>Not SATD
Workaround for open-file dialog in IPython Notebook,No,No,n,>SATD
Workaround for open-file dialog in IPython Notebook,No,No,n,>SATD
Workaround for open-file dialog in IPython Notebook,No,No,n,>SATD
TODO: save also fname,Yes,No,y,>SATD
Workaround for open-file dialog in IPython Notebook,No,No,n,>SATD
Workaround for open-file dialog in IPython Notebook,No,No,n,>SATD
Workaround for open-file dialog in IPython Notebook,No,No,n,>SATD
TODO Handle ph_times in PyTables files,Yes,Yes,y,>SATD
robust in cases where setup.py was invoked in some weird way (e.g. pip),No,No,n,>SATD
maybe improved later,Yes,No,y,>SATD
unparseable. Maybe git-describe is misbehaving?,No,Yes,n,>SATD
maybe improved later,Yes,No,y,>SATD
unparseable. Maybe git-describe is misbehaving?,No,Yes,n,>SATD
Temporary hack to workaround issue,Yes,No,y,>SATD
Custom functions needed for 2CDE,No,Yes,n,>Not SATD
"\""\""\"" || Script to execute notebooks in a folder; unless their name || starts with '_' or ends with '-out'. ||  || The executed notebooks are saved with a '-out' suffix. ||  || Usage: ||  ||     nbrun.py notebook_folder ouput_folder ||      || \""\""\""",No,No,n,>Not SATD
Add missing gap columns,Yes,Yes,y,>Not SATD
TODO,Yes,Yes,n,>SATD
If true; `todo` and `todoList` produce output; else they produce nothing.,Yes,Yes,n,>SATD
NOTE TODO Sometimes 'res' is nan.,Yes,Yes,n,>SATD
TODO This is a pretty hefty restriction. Why was this necessary?,Yes,No,y,>SATD
TODO: Add exception handling if parent directory of log_path does not exist,Yes,Yes,y,>SATD
TODO:,Yes,No,n,>SATD
1) fix URLS,Yes,Yes,y,>Not SATD
TODO: get action_source array,Yes,No,y,>SATD
TODO: map actions to colours so can map to palette[i],Yes,Yes,y,>SATD
TODO: get action_source array,Yes,No,y,>SATD
TODO: map actions to colours so can map to palette[i],Yes,Yes,y,>SATD
TODO: get action_source array,Yes,No,y,>SATD
TODO: map actions to colours so can map to palette[i],Yes,Yes,y,>SATD
todo: show complete name,Yes,Yes,y,>SATD
todo: use multi-gpu,Yes,No,y,>SATD
todo (visualize),Yes,No,y,>SATD
If true; `todo` and `todoList` produce output; else they produce nothing.,No,Yes,n,>SATD
TODO: integrate codes with trans_from_files_beam,Yes,Yes,y,>SATD
FIXME: Remove this hard coding after debugging.,Yes,Yes,y,>SATD
TODO: Only use the v5 path!,Yes,No,y,>SATD
TODO: Refactor _read() func.,Yes,Yes,y,>SATD
TODO: Fix this file path argument; it is not used and misleading.,Yes,Yes,y,>SATD
Import any additional modules needed (to register custom classes).,No,Yes,y,>Not SATD
Broadcasting will correctly repeat the x\/y factors as needed;,No,Yes,y,>Not SATD
TODO: TO experiment on Japanese SQuAD dataset; you first need to install mecab-python3 `<https:\/\/pypi.org\/project\/mecab-python3\/>`_.,Yes,Yes,n,>SATD
TODO: You need to fix some paths.,Yes,No,y,>SATD
implement more substrategies here,Yes,No,y,>Not SATD
if triplet_sem better than triplet,No,No,n,>SATD
implement more substrategies here,Yes,No,y,>Not SATD
TODO: add ip and port as cli?,Yes,Yes,y,>SATD
meteor = calc_meteor(path_merged_refs; path_hyp; n_refs=n_refs) # TODO,Yes,Yes,n,>SATD
"\""\""\"" || Created on Tue Sep 25 17:57:27 2018 ||  || @author: Emmanouil Theofanis Chourdakis <e.t.chourdakis@qmul.ac.uk> ||  || Reimplementation in spacy+python of: ||      || Del Corro Luciano; and Rainer Gemulla.  || \""Clausie: clause-based open information extraction.\""  || Proceedings of the 22nd international conference on World Wide Web. ACM; 2013. ||  || \""\""\""",No,No,n,>Not SATD
"\""\""\"" || Created on Tue Sep 25 17:57:27 2018 ||  || @author: Emmanouil Theofanis Chourdakis <e.t.chourdakis@qmul.ac.uk> ||  || Reimplementation in spacy+python of: ||      || Del Corro Luciano; and Rainer Gemulla.  || \""Clausie: clause-based open information extraction.\""  || Proceedings of the 22nd international conference on World Wide Web. ACM; 2013. ||  || \""\""\""",No,No,n,>Not SATD
"\""\""\"" || Created on Tue Sep 25 17:57:27 2018 ||  || @author: Emmanouil Theofanis Chourdakis <e.t.chourdakis@qmul.ac.uk> ||  || Reimplementation in spacy+python of: ||      || Del Corro Luciano; and Rainer Gemulla.  || \""Clausie: clause-based open information extraction.\""  || Proceedings of the 22nd international conference on World Wide Web. ACM; 2013. ||  || \""\""\""",No,No,n,>Not SATD
"\""\""\"" || Created on Tue Sep 25 17:57:27 2018 ||  || @author: Emmanouil Theofanis Chourdakis <e.t.chourdakis@qmul.ac.uk> ||  || Reimplementation in spacy+python of: ||      || Del Corro Luciano; and Rainer Gemulla.  || \""Clausie: clause-based open information extraction.\""  || Proceedings of the 22nd international conference on World Wide Web. ACM; 2013. ||  || \""\""\""",No,No,n,>Not SATD
"\""\""\"" || Created on Tue Sep 25 18:21:51 2018 ||  || @author: Emmanouil Theofanis Chourdakis || \""\""\""",No,Yes,n,>SATD
"\""\""\"" || Created on Wed Sep 26 13:38:38 2018 ||  || @author: Emmanouil Theofanis Chourdakis ||  || Problog module for extracting information from a sentence using clausiepy ||  || \""\""\""",No,Yes,n,>SATD
"\""\""\"" || Created on Wed Sep 26 13:38:38 2018 ||  || @author: Emmanouil Theofanis Chourdakis ||  || Problog module for extracting information from a sentence using clausiepy ||  || \""\""\""",No,Yes,n,>SATD
''' || Xor Dataset Generator : Python 3 || Author: Abhishek Munagekar || ''',No,Yes,n,>Not SATD
TODO: Add batch size and other properties,Yes,Yes,y,>SATD
TODO: Add batch size and other properties,Yes,Yes,y,>SATD
TODO: Add batch size and other properties,Yes,Yes,y,>SATD
NOTE:Graph Isn't initialized Properly Needsd to be fixed,Yes,Yes,y,>Not SATD
TODO: Add batch size and other properties,Yes,Yes,y,>SATD
TODO : Print the gbest stuff once done,Yes,No,y,>SATD
TODO : Added Printing Control,Yes,No,y,>SATD
Useful if the network needs very fine tuning towards the end,No,Yes,y,>SATD
TODO: Add try catch block around the cast,Yes,Yes,y,>SATD
TODO : Print Network Stats here,Yes,No,y,>SATD
TODO : Print Network Stats here,Yes,No,y,>SATD
NOTE: Local Best Version Under Development to be integrated with clinn.py,Yes,Yes,y,>SATD
TODO : Add Printing Control,Yes,No,y,>SATD
Useful if the network needs very fine tuning towards the end,No,Yes,y,>SATD
Temporary Fix,Yes,Yes,y,>Not SATD
fix for Python 3.,No,Yes,y,>Not SATD
Adjust epochs and layers as needed,Yes,Yes,y,>Not SATD
TODO: evaluating on 500 images. Set to 0 to evaluate on all images.,Yes,No,y,>SATD
TODO: paper uses 512,Yes,Yes,n,>SATD
Improve performance by trimming to top anchors by score,Yes,No,y,>SATD
Pad if needed,No,No,y,>Not SATD
TF doesn't have a way to sort by two columns; so merge them and sort.,Yes,Yes,y,>Not SATD
TODO: Remove zero padding from gt_boxes and gt_masks,Yes,Yes,y,>SATD
TODO: Optimize by supporting batch > 1,Yes,No,y,>SATD
TODO: Rename target_bbox to target_deltas for clarity,Yes,No,y,>SATD
TODO: better to keep them normalized until later,Yes,Yes,y,>SATD
TODO: Filter out boxes with zero area,Yes,No,y,>SATD
TODO: track where float64 is introduced,Yes,No,n,>SATD
TODO: use smooth_l1_loss() rather than reimplementing here,Yes,Yes,y,>SATD
TODO: Update this line to work with batch > 1. Right now it assumes all,Yes,Yes,y,>SATD
TODO: To hard example mine or not to hard example mine; that's the question,Yes,Yes,y,>SATD
TODO: If multiple anchors have the same IoU match all of them,Yes,Yes,n,>SATD
For positive anchors; compute shift and scale needed to transform them,No,No,n,>Not SATD
TODO: use box_refinment() rather that duplicating the code here,Yes,No,y,>SATD
Append two columns of zeros. TODO: needed?,Yes,No,y,>SATD
TODO: verify that this handles zero padded ROIs,Yes,Yes,y,>SATD
TODO: clean up (use tf.identify if necessary),Yes,No,y,>SATD
TODO: let DetectionLayer return normalized coordinates to avoid,Yes,Yes,y,>SATD
TODO: move resizing to mold_image(),Yes,Yes,y,>SATD
