index,Comment,actual_MLTD_label,spaCy_Predicted_MLTD_label_BAL,spaCy_Predicted_MLTD_label_AAL,SATD_predictor
31096,todo: add read pickle; fwf; html; father; parquet; orc; sas; spss; stata,Yes,No,No,Yes
23509,Verify forecast(avg_foo) feature; must be const noise centered around value=10,Yes,Yes,Yes,No
19234,objects; as it ends up being too fragile,No,Yes,Yes,No
5378,columns names as string constants,No,Yes,Yes,No
18193,TODO get rid of this deferred import:,Yes,Yes,Yes,Yes
21157,"warn(\""get_output() was called with unused kwargs:\ || \\t%s\""",No,Yes,Yes,No
14885,"TODO: New method name should be something like: \""__dynamic_pipeline_method_{}\"".format(step[1].__name__ or i)",Yes,Yes,Yes,Yes
22037,TODO put it in modifiers,Yes,Yes,Yes,Yes
25090,really want to.  Not sure why you would ever want to in this case; this is just testing,Yes,Yes,Yes,Yes
25628,FIXME: what do magic constants mean? (0.4; 7),Yes,Yes,Yes,Yes
8150,Sample root node (choose one of the classes) TODO: check what happens if C=1,Yes,Yes,Yes,Yes
19492,workaround since _set_intercept will cast self.coef_ into float64,No,Yes,Yes,Yes
13542,todo: specify the possible exception,Yes,Yes,Yes,Yes
11062,TODO(avaswani): Maybe scale the embeddings flowing out of the experts.,Yes,Yes,Yes,Yes
3381,TODO: Contribute these to MXNet?  For now it appears that registered activation types must be implemented in C++.,Yes,Yes,Yes,Yes
25913,TODO (Alex) :https:\/\/github.com\/ray-project\/ray\/pull\/9346,Yes,Yes,Yes,Yes
18100,XXX: handling Nan is important here.,Yes,Yes,Yes,Yes
1458,TODO: xp and value assign dynamically,Yes,Yes,Yes,Yes
38782,XXX This is a cop-out -- we should validate,Yes,Yes,Yes,Yes
13430,TODO: Deprecated in v0.10.0. Remove this method in v1.0,Yes,Yes,Yes,Yes
29712,TODO: render in template,Yes,Yes,Yes,Yes
2363,compute phase if needed,Yes,Yes,Yes,No
25754,"TODO: ' Tensorboard example: {\""log_dir\"": \""\/tmp\/logs\/\""}.'",No,Yes,Yes,Yes
20575,TO-DO: calc correlation between primary and synonymous p-values,Yes,Yes,Yes,Yes
31709,"\""Decode\"" stage - Reads operands (if needed) and puts into the specific data structures",Yes,Yes,Yes,No
29175,Recompute Wx on backprop to save memory (perhaps redo patches as well?),Yes,Yes,Yes,Yes
19231,XXX: some transformers are transforming the input,Yes,Yes,Yes,Yes
14070,including padding if padding is needed,Yes,Yes,Yes,No
19848,TODO : Any other options,Yes,Yes,Yes,Yes
34412,TODO(sublee): Move to above of Skippable class for better read flow.,Yes,Yes,Yes,Yes
31615,coords should be computed at run-time; maybe with a trigger type system in,Yes,Yes,Yes,Yes
