Comment,GPT_4_Predicted_MLTD_label,spaCy_Predicted_MLTD_label,actual_MLTD_label,SATD_predictor
the  feature cell  record array has two columns  col 1   actual vals ,No,Yes,No,>Not SATD
make sure number of features i e  columns is constant across feature matrices,No,Yes,Yes,>Not SATD
if true   todo  and  todolist  produce output  else they produce nothing ,No,Yes,Yes,>SATD
currently this is really gross with a lot of hard coded constants ,Yes,Yes,Yes,>SATD
  features mat is has 536 columns,No,No,No,>Not SATD
hz bins are columns  i e    features ,No,Yes,Yes,>Not SATD
determine if we already figured out which features belong to that feature group ,No,No,No,>Not SATD
finally use ftr list inds to get the actual columns we need from the,No,Yes,Yes,>Not SATD
features array  need to this because multiple columns might belong to,Yes,Yes,No,>Not SATD
use  feature list indices  from model dict to get the actual columns,No,No,No,>Not SATD
columns might belong to the same feature ,No,Yes,No,>Not SATD
for todo in extract config  todo list   ,Yes,Yes,No,>SATD
  make sure number of features i e  columns is constant across feature matrices,No,Yes,Yes,>Not SATD
better than overhead of having some error checking function    making these classes ,Yes,Yes,Yes,>SATD
this should really only happen when a hash is wrong,Yes,Yes,Yes,>Not SATD
gross hack,Yes,Yes,Yes,>SATD
and the number of columns should equal tbe number of feature indices,No,Yes,Yes,>Not SATD
averaged over columns occupy several columns,No,No,No,>Not SATD
hacky platform agnostic way to say   if integer  ,No,Yes,Yes,>SATD
probably doesn t matter but why introduce more noise ,No,No,No,>SATD
and because   explicit is better than implicit  ,No,Yes,No,>SATD
todo this class should be a proper backend class,Yes,No,Yes,>SATD
fixme this should use store collection,Yes,Yes,Yes,>SATD
fixme this looks somewhat unstable  currently we schedule by,Yes,Yes,Yes,>SATD
fixme return only at end of method ,Yes,Yes,Yes,>SATD
we re out of index columns  let s look at columns,No,Yes,No,>Not SATD
columns in frame,No,Yes,No,>Not SATD
columns to sort by  defaults to not sorted,No,Yes,No,>Not SATD
force columns    on output add columns not present,No,Yes,Yes,>Not SATD
fixme inefficient  make mdataframe a drop in replacement for any numpy ndarray,Yes,Yes,Yes,>SATD
list of column names    mdataframe subset on columns,No,Yes,Yes,>Not SATD
index columns,No,Yes,No,>Not SATD
add a projection to keep accumulator columns,No,Yes,Yes,>Not SATD
add projection of output columns to operator,No,Yes,Yes,>Not SATD
unwind all columns if requested,No,Yes,Yes,>Not SATD
see if we can get columns from metadata,No,Yes,Yes,>Not SATD
if so we can specify the columns before getting the data,No,Yes,Yes,>Not SATD
we don t have columns in metadata  get the data first,Yes,Yes,Yes,>Not SATD
mixin for configurable classes that work with connection files,No,Yes,Yes,>Not SATD
this file will contain the ip  ports  and authentication key needed to connect,No,Yes,No,>Not SATD
session configurable  configuration,No,No,No,>Not SATD
sessions support configurable serialization via packer  unpacker traits  and,No,Yes,Yes,>Not SATD
the kernel manager class   this is configurable to allow subclassing of the,No,Yes,No,>Not SATD
filemanagermixin configurable  configuration,No,No,No,>Not SATD
the kernel spec class   this is configurable to allow subclassing of the,No,Yes,No,>Not SATD
to implement a model that supports strict validation,No,Yes,Yes,>Not SATD
we decided to implement each method call explicitely in both,Yes,Yes,No,>Not SATD
implement a generic method and task that passes the method and,No,Yes,No,>Not SATD
documentation would become very unspecific  we think it is much,No,Yes,No,>SATD
features  if need should arise we can still implement a generic,No,No,No,>Not SATD
needed to get it to actually load the tasks      ,Yes,Yes,No,>Not SATD
fixme use an instance specific alias  requires that every access,Yes,No,Yes,>SATD
connect forgets all connection settings upon disconnect wtf  ,Yes,Yes,Yes,>Not SATD
todo kept  make metadata for backwards compatibility ,Yes,Yes,Yes,>SATD
fixme this may be a performance issue  use size stored on stats or metadata,Yes,Yes,Yes,>SATD
create mongon indicies for data frame index columns,No,Yes,Yes,>Not SATD
todo ensure the same processing is applied in mdataframe,Yes,Yes,Yes,>SATD
todo this method should always use a mdataframe disregarding lazy,Yes,Yes,Yes,>SATD
 name ,No,Yes,No,>Not SATD
get only projected columns,No,No,Yes,>Not SATD
meta columns is  origin column  stored column ,No,No,No,>Not SATD
restore columns to original name,No,Yes,Yes,>Not SATD
however preserve dunder     foo   names ss columns,No,Yes,Yes,>Not SATD
  fixme this does not work,Yes,No,No,>SATD
fixme we have to convert mongodb dayofweek to pandas dt dayofweek,Yes,No,No,>SATD
fixme this is actually wrong  see df quantile   1   2  ,Yes,Yes,No,>SATD
todo ignore errors  issue warning,Yes,No,Yes,>SATD
hack to localize metadata,Yes,Yes,Yes,>SATD
fix because local metadata object cannot be pickled,No,Yes,Yes,>SATD
fixme this is a hack to enable get client config,Yes,No,Yes,>SATD
override to implement model saving,No,Yes,Yes,>Not SATD
override to implement model loading,No,Yes,Yes,>Not SATD
fixme this will fail in tf 2 0  see https     github com  tensorflow  tensorflow  issues  24412 issuecomment 491980177,Yes,Yes,Yes,>SATD
fixme this is not working yet,Yes,Yes,Yes,>SATD
todo add obj signing so that only trustworthy sources can put functions,Yes,Yes,Yes,>SATD
   this is a hack to easily support python 2  3 client  server mix,Yes,No,Yes,>SATD
fixme enable cache by arguments  mnemonic   cached seconds 3600 ,Yes,No,Yes,>SATD
fixme should work with json  the default celery serializer ,Yes,No,Yes,>SATD
fixme get actual datetime,Yes,No,Yes,>SATD
fixme sometimes it takes long for the nb to appear  why ,Yes,Yes,Yes,>SATD
fixme sometimes it takes long for the nb to appear why ,Yes,Yes,Yes,>SATD
   why can t we pass the dataset directly  all objects must be executed on the same,Yes,Yes,No,>SATD
todo do some more intelligent caching  i e  by client  auth,Yes,Yes,Yes,>SATD
todo move all of the specifics to backend implementations,Yes,Yes,Yes,>SATD
todo support dst crossing datetime objects  use utc to avoid the issue,Yes,Yes,Yes,>SATD
is not needed  loading means this happens at runtime startup,No,Yes,Yes,>Not SATD
fixme this is a mess,Yes,Yes,Yes,>SATD
todo refactor to seperate method    mapped translation functions,Yes,Yes,Yes,>SATD
fix tensorflow pulling wrong version of absl py ,No,Yes,Yes,>SATD
todo associate meta gridfile with actual fs file,Yes,Yes,Yes,>SATD
todo if head    tail    query     loc  iloc should return a new mdataframe instance to avoid having a reset need,Yes,Yes,Yes,>SATD
todo introduce a puggable filetype processing backend to do this,Yes,Yes,Yes,>SATD
todo make this a systemerror so that omegadeferredistance setup reverts to proper defaults,Yes,Yes,Yes,>SATD
  this  environment  configurable,No,Yes,No,>Not SATD
the  environment  configurable should be set by jupyterhub administrators to,No,Yes,No,>Not SATD
from the configurable proxy ,No,Yes,No,>Not SATD
of creation  open to better ways ,No,Yes,No,>SATD
todo implement drop to support deletion of specific versions,Yes,Yes,Yes,>SATD
todo refactor to promote of python native data backend,Yes,Yes,Yes,>SATD
todo replace result backend with redis or mongodb,Yes,Yes,Yes,>SATD
todo replace mp with billiard,Yes,Yes,Yes,>SATD
todo this fails and should not,Yes,Yes,Yes,>SATD
todo move this implementation to a proper omegastore backend or mixin,Yes,No,Yes,>SATD
todo enable mixins,Yes,Yes,Yes,>SATD
todo enable custom backends,Yes,No,Yes,>SATD
dummy predictions and trues are needed in keras  see https     github com  smith42  keras relativistic gan  ,No,Yes,No,>Not SATD
todo  tensorflow 1 3 doesn t support broadcasting in  tf matmul   and,Yes,Yes,Yes,>SATD
as a temporary workaround  we are using   tf einsum   for the matrix,Yes,Yes,No,>SATD
todo    full cov   true would return a   fvar   of shape n x n x d x d ,Yes,Yes,Yes,>SATD
this corresponds to a boundary condition that we must fix manually ,Yes,Yes,Yes,>Not SATD
slicing is not needed here  the desired behaviour is to  still  return an nxmxd matrix  as even when the,Yes,Yes,Yes,>Not SATD
slicing is not needed here  the desired behaviour is to  still  return an nxmxd matrix ,Yes,Yes,Yes,>Not SATD
todo  wait for eager fix this bug ,Yes,Yes,Yes,>SATD
check for duplicates  start numbering if needed,No,Yes,Yes,>Not SATD
todo  implement this,Yes,Yes,Yes,>SATD
todo  implement this,Yes,Yes,Yes,>SATD
workaround as existing tf variable cannot be retrieved back with tf get variable,Yes,Yes,Yes,>SATD
this is a disaster  adding related tickers does not improve accuracy,Yes,Yes,Yes,>SATD
best to pass back copies instead of reference  t t t,Yes,Yes,Yes,>SATD
sort columns alphabetical,No,Yes,Yes,>Not SATD
high performer  recently doing better,No,Yes,Yes,>Not SATD
tcr  idx   df index df index get loc dt  method  nearest    this would be better,Yes,Yes,Yes,>Not SATD
idx   df index df index get loc dt  method  nearest     tcr  this would be better,Yes,Yes,Yes,>Not SATD
combines trending model with targeted   swing   buys  attempting to gain better deals by anticipating daily price fluctuations,No,Yes,Yes,>SATD
reevaluationinterval is how often to re evaluate our choices  ideally this should be very short and not matter  otherwise the date selection is biased ,Yes,Yes,No,>SATD
and then averaged together  this provides significantly better performance than treating the probability,No,No,No,>SATD
exit loop when episode ends,No,No,No,>Not SATD
ph burst search     all ph      todo  use broader excitation selection in,Yes,No,Yes,>SATD
needed for alternation hist,No,Yes,Yes,>Not SATD
fix  1 1 0 0 0  ,No,No,Yes,>Not SATD
todo  solve the problem of imports without using run  i,Yes,Yes,Yes,>SATD
    thus we need to swap d and a to maintain the convention d first,Yes,Yes,Yes,>Not SATD
was correct and no remap is needed for those measurement ,No,Yes,No,>Not SATD
recomposed in ph times and det   nb  old not very efficient approach ,Yes,Yes,Yes,>SATD
fix a threshold,No,Yes,Yes,>Not SATD
todo  check bg rate calculation  seems quite a bit off ,Yes,Yes,Yes,>SATD
nice 1 number very sim  to arial,No,No,No,>SATD
apparently does not work,Yes,No,Yes,>Not SATD
precompute the offset values for better performance,Yes,No,Yes,>SATD
          hack to allow gui selection of bursts in a 2d alex histogram         see hist2d alex   in burst plot py           ,Yes,Yes,Yes,>SATD
convert both lim  ph p and mburst  as they are both needed,Yes,Yes,Yes,>Not SATD
 todo  save prefix  compression and size inside the group,Yes,Yes,Yes,>SATD
          this folder contains one file per each supported data file          each file contains the binary load and preprocessing functions needed for     the specific format  functions defined here are used by loader functions     in  loaders py  to properly initialize a  data    variable           ,No,Yes,No,>Not SATD
todo  implement automatic threshold computation,Yes,Yes,Yes,>SATD
so getting all photons  da  with this mask is efficient,No,No,No,>Not SATD
workaround for open file dialog in ipython notebook,No,No,No,>SATD
todo  save also fname,Yes,No,Yes,>SATD
todo handle ph times in pytables files,Yes,Yes,Yes,>SATD
robust in cases where setup py was invoked in some weird way  e g  pip ,No,No,No,>SATD
maybe improved later,Yes,No,Yes,>SATD
unparseable  maybe git describe is misbehaving ,No,Yes,No,>SATD
temporary hack to workaround issue,Yes,No,Yes,>SATD
custom functions needed for 2cde,No,Yes,No,>Not SATD
          script to execute notebooks in a folder  unless their name    starts with     or ends with   out          the executed notebooks are saved with a   out  suffix         usage             nbrun py notebook folder ouput folder                  ,No,No,No,>Not SATD
add missing gap columns,Yes,Yes,Yes,>Not SATD
note todo sometimes  res  is nan ,Yes,Yes,No,>SATD
todo this is a pretty hefty restriction  why was this necessary ,Yes,No,Yes,>SATD
todo  add exception handling if parent directory of log path does not exist,Yes,Yes,Yes,>SATD
todo ,Yes,No,No,>SATD
1  fix urls,Yes,Yes,Yes,>Not SATD
todo  get action source array,Yes,No,Yes,>SATD
todo  map actions to colours so can map to palette i ,Yes,Yes,Yes,>SATD
todo  show complete name,Yes,Yes,Yes,>SATD
todo  use multi gpu,Yes,No,Yes,>SATD
todo  visualize ,Yes,No,Yes,>SATD
todo  integrate codes with trans from files beam,Yes,Yes,Yes,>SATD
fixme  remove this hard coding after debugging ,Yes,Yes,Yes,>SATD
todo  only use the v5 path ,Yes,No,Yes,>SATD
todo  refactor  read   func ,Yes,Yes,Yes,>SATD
todo  fix this file path argument  it is not used and misleading ,Yes,Yes,Yes,>SATD
import any additional modules needed  to register custom classes  ,No,Yes,Yes,>Not SATD
broadcasting will correctly repeat the x  y factors as needed ,No,Yes,Yes,>Not SATD
todo  to experiment on japanese squad dataset  you first need to install mecab python3   https     pypi org  project  mecab python3      ,Yes,Yes,No,>SATD
todo  you need to fix some paths ,Yes,No,Yes,>SATD
implement more substrategies here,Yes,No,Yes,>Not SATD
if triplet sem better than triplet,No,No,No,>SATD
todo  add ip and port as cli ,Yes,Yes,Yes,>SATD
meteor   calc meteor path merged refs  path hyp  n refs n refs    todo,Yes,Yes,No,>SATD
          created on tue sep 25 17 57 27 2018         author  emmanouil theofanis chourdakis  e t chourdakis qmul ac uk         reimplementation in spacy python of             del corro luciano  and rainer gemulla        clausie  clause based open information extraction        proceedings of the 22nd international conference on world wide web  acm  2013               ,No,No,No,>Not SATD
          created on tue sep 25 18 21 51 2018         author  emmanouil theofanis chourdakis          ,No,Yes,No,>SATD
          created on wed sep 26 13 38 38 2018         author  emmanouil theofanis chourdakis        problog module for extracting information from a sentence using clausiepy              ,No,Yes,No,>SATD
       xor dataset generator   python 3    author  abhishek munagekar       ,No,Yes,No,>Not SATD
todo  add batch size and other properties,Yes,Yes,Yes,>SATD
note graph isn t initialized properly needsd to be fixed,Yes,Yes,Yes,>Not SATD
todo   print the gbest stuff once done,Yes,No,Yes,>SATD
todo   added printing control,Yes,No,Yes,>SATD
useful if the network needs very fine tuning towards the end,No,Yes,Yes,>SATD
todo  add try catch block around the cast,Yes,Yes,Yes,>SATD
todo   print network stats here,Yes,No,Yes,>SATD
note  local best version under development to be integrated with clinn py,Yes,Yes,Yes,>SATD
todo   add printing control,Yes,No,Yes,>SATD
temporary fix,Yes,Yes,Yes,>Not SATD
fix for python 3 ,No,Yes,Yes,>Not SATD
adjust epochs and layers as needed,Yes,Yes,Yes,>Not SATD
todo  evaluating on 500 images  set to 0 to evaluate on all images ,Yes,No,Yes,>SATD
todo  paper uses 512,Yes,Yes,No,>SATD
improve performance by trimming to top anchors by score,Yes,No,Yes,>SATD
pad if needed,No,No,Yes,>Not SATD
tf doesn t have a way to sort by two columns  so merge them and sort ,Yes,Yes,Yes,>Not SATD
todo  remove zero padding from gt boxes and gt masks,Yes,Yes,Yes,>SATD
todo  optimize by supporting batch   1,Yes,No,Yes,>SATD
todo  rename target bbox to target deltas for clarity,Yes,No,Yes,>SATD
todo  better to keep them normalized until later,Yes,Yes,Yes,>SATD
todo  filter out boxes with zero area,Yes,No,Yes,>SATD
todo  track where float64 is introduced,Yes,No,No,>SATD
todo  use smooth l1 loss   rather than reimplementing here,Yes,Yes,Yes,>SATD
todo  update this line to work with batch   1  right now it assumes all,Yes,Yes,Yes,>SATD
todo  to hard example mine or not to hard example mine  that s the question,Yes,Yes,Yes,>SATD
todo  if multiple anchors have the same iou match all of them,Yes,Yes,No,>SATD
for positive anchors  compute shift and scale needed to transform them,No,No,No,>Not SATD
todo  use box refinment   rather that duplicating the code here,Yes,No,Yes,>SATD
append two columns of zeros  todo  needed ,Yes,No,Yes,>SATD
todo  verify that this handles zero padded rois,Yes,Yes,Yes,>SATD
todo  clean up  use tf identify if necessary ,Yes,No,Yes,>SATD
todo  let detectionlayer return normalized coordinates to avoid,Yes,Yes,Yes,>SATD
todo  move resizing to mold image  ,Yes,Yes,Yes,>SATD
todo  build and use this function to reduce code duplication,Yes,Yes,Yes,>SATD
todo  cleaner to do zero unpadding upstream,Yes,Yes,Yes,>SATD
in the long run  it s more efficient to modify the code to support large,Yes,Yes,Yes,>SATD
todo  replace with matplotlib equivalent ,Yes,No,Yes,>SATD
work around for windows  keras fails on windows when using,Yes,Yes,Yes,>SATD
todo  will be removed in a future update in favor of augmentation,Yes,Yes,Yes,>SATD
a hack to get around keras s bad support for constants,Yes,Yes,Yes,>SATD
todo  remove this after the notebook are refactored to not use it,Yes,No,Yes,>SATD
todo,Yes,No,No,>Not SATD
todo  can this be optimized to avoid duplicating the anchors ,Yes,Yes,Yes,>SATD
the multiple of 64 is needed to ensure smooth scaling of feature,No,No,No,>Not SATD
todo  remove in about 6 months  end of 2018 ,Yes,Yes,Yes,>SATD
the if condition is needed to support via versions 1 x and 2 x ,No,Yes,Yes,>Not SATD
download coco trained weights from releases if needed,No,Yes,Yes,>Not SATD
todo  upgrade python ucto,Yes,Yes,Yes,>SATD
todo  do load balancing  find least busy server,Yes,Yes,Yes,>SATD
todo  parse ,Yes,Yes,Yes,>SATD
todo  run on and split module,Yes,No,Yes,>SATD
todo  process result,Yes,Yes,Yes,>SATD
todo  convert to fql,Yes,No,Yes,>SATD
bit of an ugly cheat since we don t really support dual classes,Yes,Yes,Yes,>SATD
todo  auf allownonevalue eingegeh und dass none auch als default einflie u00dfen kann,Yes,Yes,No,>SATD
todo  check if user or group exist,Yes,Yes,Yes,>SATD
a missing manifest does not affect the main functionality,Yes,Yes,Yes,>Not SATD
user must implement def docrawl self  artistname  albumname  songname ,No,Yes,No,>Not SATD
